sentence,shannon,huffmann
"And so it was indeed! She was now only ten inches high, and her face",3.88561941042127,4.8095236
brightened up at the thought that she was now the right size for going,3.746797204998785,4.6666665
through the little door into that lovely garden.,3.7168896489418493,4.4375
"After awhile, finding that nothing more happened, she decided on going",3.9527871761072384,4.7
"into the garden at once; but, alas for poor Alice! When she got to the",3.9719643058852565,5.0
"door, she found she had forgotten the little golden key, and when she",3.83450820376475,4.736842
"went back to the table for it, she found she could not possibly reach",4.015633458812483,4.8095236
it: she could see it quite plainly through the glass and she tried her,3.8526530554876004,4.736842
"best to climb up one of the legs of the table, but it was too slippery,",3.8782767899668675,4.952381
"and when she had tired herself out with trying, the poor little thing",3.8448024002797982,4.736842
sat down and cried.,3.5368867237421693,3.8461537
"sharply. ""I advise you to leave off this minute!"" She generally gave",4.220586358976936,4.9166665
"herself very good advice (though she very seldom followed it), and",4.126161408235306,4.9130435
sometimes she scolded herself so severely as to bring tears into her,3.76215748715673,4.6842103
eyes.,1.9219280948873623,2.25
Soon her eye fell on a little glass box that was lying under the table:,3.902090163922987,4.904762
"She ate a little bit and said anxiously to herself, ""Which way? Which,4.1154368702177075,5.0
way?"" holding her hand on the top of her head to feel which way she was",3.836111741238825,4.8
growing; and she was quite surprised to find that she remained the same,3.9052647753315655,4.631579
size. So she set to work and very soon finished off the cake.,3.9050834448966874,4.75
[Illustration],3.521640636343319,3.75
II--THE POOL OF TEARS,3.5585186130489066,3.9230769
"""Curiouser and curiouser!"" cried Alice (she was so much surprised that",4.041126011953185,4.8636365
Just at this moment her head struck against the roof of the hall; in,3.894824094257322,4.75
"fact, she was now rather more than nine feet high, and she at once took",3.74888114197119,4.5555553
up the little golden key and hurried off to the garden door.,3.8269103257882793,4.5
"Poor Alice! It was as much as she could do, lying down on one side, to",4.025960882413274,4.9565215
look through into the garden with one eye; but to get through was more,3.8039008626750905,4.8
hopeless than ever. She sat down and began to cry again.,3.9704259677608515,4.952381
"She went on shedding gallons of tears, until there was a large pool all",3.862389320852124,4.736842
'round her and reaching half down the hall.,3.838342081737123,4.5555553
"After a time, she heard a little pattering of feet in the distance and",3.7293789057291624,4.6842103
she hastily dried her eyes to see what was coming. It was the White,3.798637640249425,4.8
"Rabbit returning, splendidly dressed, with a pair of white kid-gloves in",4.227585120442807,4.9166665
one hand and a large fan in the other. He came trotting along in a,3.62860723456718,4.5882354
kid-gloves and the fan and skurried away into the darkness as hard as he,3.8499434827933805,4.75
could go.,2.9477027792200903,3.125
[Illustration],3.521640636343319,3.75
Alice took up the fan and gloves and she kept fanning herself all the,3.9186775756836014,4.65
"As she said this, she looked down at her hands and was surprised to see",3.700136693111193,4.6666665
that she had put on one of the Rabbit's little white kid-gloves while,3.9737385879934175,5.0454545
"she was talking. ""How _can_ I have done that?"" she thought. ""I must be,4.177722876947079,5.04
growing small again."" She got up and went to the table to measure",3.9869253126623283,4.7619047
herself by it and found that she was now about two feet high and was,3.8072926225641504,4.5
going on shrinking rapidly. She soon found out that the cause of this,3.9921580669325407,4.857143
"was the fan she was holding and she dropped it hastily, just in time to",3.931212354471287,4.8095236
save herself from shrinking away altogether.,4.033771256064557,4.631579
"""That _was_ a narrow escape!"" said Alice, a good deal frightened at the",4.1078485703940455,4.9130435
"sudden change, but very glad to find herself still in existence. ""And,4.149493104839415,4.9583335
now for the garden!"" And she ran with all speed back to the little door;",4.030010156414902,5.0
"but, alas! the little door was shut again and the little golden key was",3.88846277711442,4.8
"As she said these words, her foot slipped, and in another moment,",3.87091861692336,4.5555553
splash! she was up to her chin in salt-water. Her first idea was that,3.892689258227376,4.8095236
"she had somehow fallen into the sea. However, she soon made out that she",3.779481811874557,4.9
was in the pool of tears which she had wept when she was nine feet high.,3.6749780929544436,4.611111
[Illustration],3.521640636343319,3.75
Just then she heard something splashing about in the pool a little way,3.9162849395080426,4.8
"off, and she swam nearer to see what it was: she soon made out that it",3.669468691510278,4.5882354
was only a mouse that had slipped in like herself.,3.970881379939832,4.8
"inquisitively and seemed to her to wink with one of its little eyes, but",3.9006204340676103,4.8636365
it said nothing.,3.327819531114783,3.6363637
"again: ""Où est ma chatte?"" which was the first sentence in her French",3.8764481021644754,4.75
lesson-book. The Mouse gave a sudden leap out of the water and seemed to,3.967980493824974,5.1666665
"hastily, afraid that she had hurt the poor animal's feelings. ""I quite,4.13708532806971,5.0
forgot you didn't like cats.""",4.116264615668024,4.55
[Illustration: Alice at the Mad Tea Party.],4.211408220806109,4.9166665
"""I won't indeed!"" said Alice, in a great hurry to change the subject of",4.246348826892124,5.0384617
"it could go, and making quite a commotion in the pool as it went.",3.900888331833762,4.857143
"Mouse heard this, it turned 'round and swam slowly back to her; its face",4.175982942522378,5.0
"was quite pale, and it said, in a low, trembling voice, ""Let us get to,4.03697609687528,5.0
the shore and then I'll tell you my history and you'll understand why it,3.8840447479577396,4.5555553
is I hate cats and dogs.""",3.639079570624174,4.133333
"It was high time to go, for the pool was getting quite crowded with the",3.8952242338805307,4.909091
"birds and animals that had fallen into it; there were a Duck and a Dodo,",3.9575582538285836,4.909091
"a Lory and an Eaglet, and several other curious creatures. Alice led the",4.0138213973680665,5.0
way and the whole party swam to the shore.,3.6897037321995483,4.1875
[Illustration],3.521640636343319,3.75
III--A CAUCUS-RACE AND A LONG TALE,3.6349899593311,4.133333
They were indeed a queer-looking party that assembled on the bank--the,4.10768502106766,4.9565215
"birds with draggled feathers, the animals with their fur clinging close",4.026940966895652,4.8
"to them, and all dripping wet, cross and uncomfortable.",4.19918607700368,4.7727275
[Illustration],3.521640636343319,3.75
"The first question, of course, was how to get dry again. They had a",4.059456164137302,4.714286
"consultation about this and after a few minutes, it seemed quite natural",3.899510409049652,4.8
"to Alice to find herself talking familiarly with them, as if she had",3.9775492480532115,4.8095236
known them all her life.,3.688721875540868,4.2
"At last the Mouse, who seemed to be a person of some authority among",3.929596564501443,5.0869565
the Mouse in the middle.,3.584962500721157,4.214286
"""Ugh!"" said the Lory, with a shiver.",4.0514621540398,4.45
"""Found _what_?"" said the Duck.",4.173557262275185,4.5
Alice as it spoke.,3.5724312513221195,3.7692308
"""What _is_ a Caucus-race?"" said Alice.",4.050981633039269,4.45
[Illustration],3.521640636343319,3.75
"marked out a race-course, in a sort of circle, and then all the party",3.965101757102009,4.7619047
"when they liked, so that it was not easy to know when the race was over.",3.7714054835773356,4.736842
"However, when they had been running half an hour or so and were quite",3.9198928371199253,4.9545455
"dry again, the Dodo suddenly called out, ""The race is over!"" and they",4.103890037143363,4.7727275
"all crowded 'round it, panting and asking, ""But who has won?""",4.183141289462431,4.869565
This question the Dodo could not answer without a great deal of thought.,3.9857808213564594,4.857143
"""But who is to give the prizes?"" quite a chorus of voices asked.",4.111437164990341,5.0833335
"finger; and the whole party at once crowded 'round her, calling out, in",4.061325556478833,4.8095236
"a confused way, ""Prizes! Prizes!""",4.0895524525606675,4.4736843
"Alice had no idea what to do, and in despair she put her hand into her",3.7204740540524996,4.611111
pocket and pulled out a box of comfits (luckily the salt-water had not,4.162643689477136,4.9583335
got into it) and handed them 'round as prizes. There was exactly one,4.138646578088259,5.12
"a-piece, all 'round.",3.9219280948873623,4.25
The next thing was to eat the comfits; this caused some noise and,3.809563291154804,4.7894735
"confusion, as the large birds complained that they could not taste",4.052361932428081,4.7619047
"theirs, and the small ones choked and had to be patted on the back.",3.8160754703095874,4.6842103
"However, it was over at last and they sat down again in a ring and",3.7303615903983265,4.611111
begged the Mouse to tell them something more.,3.68016893110011,4.647059
would be offended again.,3.6572682296173897,4.071429
"""Mine is a long and a sad tale!"" said the Mouse, turning to Alice and",3.888331930390674,4.75
sighing.,2.5,2.6666667
"at the Mouse's tail, ""but why do you call it sad?"" And she kept on",4.107541181149556,5.0416665
"puzzling about it while the Mouse was speaking, so that her idea of the",4.025088179785833,4.909091
tale was something like this:--,3.824533406881911,4.3125
"You are not attending!"" said the Mouse to Alice, severely. ""What are,4.174076256668427,5.04
you thinking of?",3.6168746059562227,3.7692308
"""You insult me by talking such nonsense!"" said the Mouse, getting up and",4.125834335788492,5.0833335
walking away.,3.1808329872054406,3.5
"""Please come back and finish your story!"" Alice called after it. And the",4.224715106326878,4.8333335
its head impatiently and walked a little quicker.,3.9239969083128834,4.9
remarkable sensation among the party. Some of the birds hurried off at,4.0653774708032255,4.909091
"once, and a Canary called out in a trembling voice, to its children,",3.976829849005166,4.904762
pretexts they all moved off and Alice was soon left alone.,3.9897963596337647,5.0
"""I wish I hadn't mentioned Dinah! Nobody seems to like her down here and,4.048965622692839,4.9565215
I'm sure she's the best cat in the world!"" Poor Alice began to cry",4.152324175888739,5.08
"again, for she felt very lonely and low-spirited. In a little while,",4.080460897241802,4.818182
"however, she again heard a little pattering of footsteps in the distance",3.8857947820128906,4.631579
and she looked up eagerly.,3.777362795064168,4.375
[Illustration],3.521640636343319,3.75
[Illustration],3.521640636343319,3.75
IV--THE RABBIT SENDS IN A LITTLE BILL,3.570826595815688,4.071429
